full_name,age,league,season,position,Current_Club,minutes_played_overall,nationality,appearances_overall,goals_overall,assists_overall
Rajiv van La Parra,29,Premier League,2018/2019,Midfielder,Huddersfield Town,407,Netherlands,5,0,0
Ramadan Sobhi,24,Premier League,2018/2019,Forward,Huddersfield Town,75,Egypt,4,0,0
Raúl Alonso Jiménez Rodríguez,29,Premier League,2018/2019,Forward,Wolverhampton Wanderers,3124,Mexico,38,13,7
Rhys Healey,26,Premier League,2018/2019,Forward,Cardiff City,49,England,3,0,0
Ricardo Domingos Barbosa Pereira,27,Premier League,2018/2019,Defender,Leicester City,3125,Portugal,35,2,6
Richarlison de Andrade,23,Premier League,2018/2019,Forward,Everton,2679,Brazil,35,13,1
Riyad Mahrez,30,Premier League,2018/2019,Midfielder,Manchester City,1339,Algeria,27,7,4
Rob Holding,25,Premier League,2018/2019,Defender,Arsenal,807,England,10,0,0
Robbie Brady,29,Premier League,2018/2019,Midfielder,Burnley,715,Republic of Ireland,16,0,1
Robert Kenedy Nunes do Nascimento,25,Premier League,2018/2019,Midfielder,Newcastle United,1344,Brazil,25,1,1
Robert Snodgrass,33,Premier League,2018/2019,Midfielder,West Ham United,2222,Scotland,33,2,5
Roberto Firmino,29,Premier League,2018/2019,Forward,Liverpool,2620,Brazil,34,12,6
Roberto Maximiliano Pereyra,30,Premier League,2018/2019,Forward,Watford,2825,Argentina,33,6,1
Romain Saïss,31,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1144,Morocco,19,2,0
Romelu Lukaku,27,Premier League,2018/2019,Forward,Manchester United,2130,Belgium,32,12,0
Rondon,31,Premier League,2018/2019,Forward,Newcastle United,2609,Venezuela,32,11,7
Ross Barkley,27,Premier League,2018/2019,Midfielder,Chelsea,1241,England,27,3,5
Rúben Diogo Da Silva Neves,24,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3009,Portugal,35,4,3
Rúben Gonçalo Silva Nascimento Vinagre,22,Premier League,2018/2019,Defender,Wolverhampton Wanderers,703,Portugal,17,0,0
Ruben Loftus-Cheek,25,Premier League,2018/2019,Midfielder,Chelsea,983,England,24,6,2
Rui Pedro dos Santos Patrício,33,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,3330,Portugal,37,0,0
Ryan Bennett,31,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3060,England,34,1,0
Ryan Bertrand,31,Premier League,2018/2019,Defender,Southampton,2160,England,24,1,0
Ryan Fraser,27,Premier League,2018/2019,Midfielder,AFC Bournemouth,3173,Scotland,38,7,14
Ryan Fredericks,28,Premier League,2018/2019,Midfielder,West Ham United,1085,England,15,1,0
Ryan Giles,21,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,0,England,0,0,0
Ryan Guno Babel,34,Premier League,2018/2019,Forward,Fulham,1260,Netherlands,16,5,3
Ryan Schofield,21,Premier League,2018/2019,Goalkeeper,Huddersfield Town,0,England,0,0,0
Ryan Sessegnon,20,Premier League,2018/2019,Defender,Fulham,2298,England,35,2,6
Sadio Mané,28,Premier League,2018/2019,Forward,Liverpool,3086,Senegal,36,22,1
Sam Gallagher,25,Premier League,2018/2019,Forward,Southampton,30,England,4,0,0
Sam Surridge,22,Premier League,2018/2019,Forward,AFC Bournemouth,11,England,2,0,0
Sam Vokes,31,Premier League,2018/2019,Forward,Burnley,913,Wales,20,3,0
Sam Woods,22,Premier League,2018/2019,Defender,Crystal Palace,0,England,0,0,0
Samir Nasri,33,Premier League,2018/2019,Midfielder,West Ham United,246,France,5,0,2
Sandro Ramirez,25,Premier League,2018/2019,Forward,Everton,0,Spain,0,0,0
Scott Dann,34,Premier League,2018/2019,Defender,Crystal Palace,660,England,10,0,1
Scott McTominay,24,Premier League,2018/2019,Midfielder,Manchester United,861,England,16,2,0
Sead Kolašinac,27,Premier League,2018/2019,Defender,Arsenal,1891,Bosnia and Herzegovina,24,0,5
